Car_Number,             Car_number_A1-Car
Door_Open_Pb_Right,             Door_open_pushbutton_right
Door_Open_Pb_Left,             Door_open_pushbutton_left
Door_Release_Right,             Checkback_Door_release_right
Door_Release_Left,             Checkback_Door_release_left
Door_Close_Pb_Right,             Door_close_pushbutton_right
Door_Close_Pb_Left,             Door_close_pushbutton_left
ATC_CMD_Door_Open_left,             Command_door_open_left_from_ATC
ATC_CMD_Door_Open_right,             Command_door_open_right_from_ATC
ATC_CMD_Doors_Close,             Command_door_close_from_ATC
ATC_MD_Door_Release_Right,             Command_release_righ_door_from_ATC
ATC_CMD_Door_Release_Left,             Command_release_left_door_from_ATC
CMD_Driving_ATC,             Command_Driving_from_ATC
ATC_CMD_Braking_active,             Command_Braking_from_ATC
ATC_CMD_Jog_Mode,             Command_jog_mode_from_ATC
ATC_CMD_Creep_Mode,             Command_creep_mode_from_ATC
ATC_CMD_Wash_Mode,             Command_wash_mode_from_ATC
ATC_CMD_Rescue_Mode,             Command_rescue_mode_from_ATC
ATC_CMD_RM_Mode,             Command_restricted_manual_mode_from_ATC
Third_Rail_gap_approach,             Command_third_rail_gap_approach_from_ATC
ATC_self_test_running,             ATC_Selftest_running
ATC_CMD_FSB,             Command_fast_braking_from_ATC
ATC_Active_1,             ATC1_active
ATC_Active_2,             ATC2_active
ATC_Direction_CabA,             Command_direction_cabA_from_ATC
ATC_Direction_CabB,             Command_direction_cabB_from_ATC
ATC_CMD_Horn_ON_ATC,             Command_horn_on_from_ATC
ATC_Emer_Brake_ATP,             Command_emergency_brake_from_ATC
ATC_Byp_Dr_LE_Act,             Command_bypass_left_door_active_from_ATC
ATC_Byp_Dr_RI_Act,             Command_bypass_right_door_active_from_ATC
OCC_RC_Reset_Smoke_Detect,             Remote_Reset_smoke_detection
OCC_RC_close_FAD,             Remote_Close_fresh_air_damper_in_OCC
OCC_RC_release_FAD,             Remote_Release_fresh_air_damper_in_OCC
OCC_RC_Lighting_ON,             Remote_Command_Lighting_on_in_OCC
OCC_RC_Lighting_OFF,             Remote_Command_Lighting_off_in_OCC
OCC_RC_Cut_Out_M1_Bg1,             Remote_Cut_out_M1_bogie_1
OCC_RC_RC_Cut_Out_T_Bg1,             Remote_Cut_out_T_bogie_1
OCC_RC_Cut_Out_M2_Bg1,             Remote_Cut_out_M2_bogie_1
OCC_RC_Cut_Out_M1_Bg2,             Remote_Cut_out_M1_bogie_2
OCC_RC_Cut_Out_T_Bg2,             Remote_Cut_out_T_bogie_2
OCC_RC_Cut_Out_M2_Bg2,             Remote_Cut_out_M2_bogie_2
OCC_RC_VAC_ON,             Remote_Command_VAC_on_in_OCC
OCC_RC_VAC_OFF,             Remote_Command_VAC_off
OCC_RC_Evac_dir_M1,             Remote_Set_Eveluation_Direction_in_M1
OCC_RC_Evac_dir_M2,             Remote_Set_Eveluation_Direction_in_M2
OCC_RC_Wash,             Remote_Command_Wash_Mode
OBCU_Fault,             OBCU_fault
Announcement_Train_Hold,             Request_train_hold_announcement_from_ATC
Announcement_Skip_stop,             Request_skip_stop_Annoucement_from_ATC
Announcement_No_Service,             Request_out_of_service_announcement_from_ATC
Announce_next_stop,             Request_next_stop_announcement_from_ATC
Announce_arrival,             Request_arrival_announcement_from_ATC
Route_NB_SB,             Route_North-South_Bound_from_ATC
Distance_Next_Station,             Distance_to_next_station
Train_Number,             Train_number
Line_Code,             Line_code
Route_ID_ER,             Route_ID
Current_Station_Code,             Current_station
Destination_Station_Code,             Destination_station_number-code
Next_Station_Code,             Next_station_number-code
Wheel_Diameter_Axle1,             Wheel_diameter_axle1
Wheel_Diameter_Axle2,             Wheel_diameter_axle2
Max_Speed_CM,             Maximum_speed_in_manual_mode_from_ATC
ATC_Tractive_Effort,             Tractive_effort_from_ATC
EP_Force_Act_M1_1_ER,             M1_car_bogie_1_actual_EP_brake_force
EP_Force_Act_M1_2_ER,             M1_car_bogie_2_actual_EP_brake_force
EP_Force_Act_T_1_ER,             T_car_bogie_1_actual_EP_brake_force
EP_Force_Act_T_2_ER,             T_car_bogie_2_actual_EP_brake_force
EP_Force_Act_M2_1_ER,             M2_car_bogie_1_actual_EP_brake_force
EP_Force_Act_M2_2_ER,             M2_car_bogie_2_actual_EP_brake_force
HSCB_On_M1,             Checkback_HSCB_on_M1
HSCB_On_M2,             Checkback_HSCB_on_M2
Tetra_Radio_Ok_CABA,             M1_tetra_radio_ok
Tetra_Radio_Ok_CABB,             M2_tetra_radio_ok
PA_System_Ok_M1,             M1_car_PA_system_ok
PA_System_Ok_T,             T_car_PA_system_ok
PA_System_Ok_M2,             M2_car_PA_system_ok
MCB_ATC1_Ok,             ATC1_MCB_ok
MCB_ATC2_Ok,             ATC2_MCB_ok
PB_Deadman_Act_M1,             M1_car_deadman_button_is_active
PB_Deadman_Act_M2,             M2_car_deadman_button_is_active
Train_Couple_M1,             Train_coupled_in_M1
Train_Couple_M2,             Train_coupled_in_M2
E_Couple_Cut_Out_M1,             M1_car_E_Couple_cut_out
E_Couple_Cut_Out_M2,             M2_car_E_Couple_cut_out
Bypass_Safety_Loop_CabA,             Bypass_safety_loop_in_M1_car
Bypass_Safety_Loop_CabB,             Bypass_safety_loop_in_M2_car
Bypass_Door_Loop_CabA,             Bypass_door_loop_in_M1_car
Bypass_Door_Loop_CabB,             Bypass_door_loop_in_M2_car
Cut_Out_ATC1,             Cut_out_ATC1_T
Cut_Out_ATC2,             Cut_out_ATC2_T
Byp_Obstacle_Detect_CabA,             Bypass_Obstacle_detector_M1
Byp_Obstacle_Detect_CabB,             Bypass_Obstacle_detector_M2
Drive_Console_cl_lo_CabA,             Drive_console_close_lock_M1
Drive_Console_cl_lo_CabB,             Drive_console_close_lock_M2
Horn_activated_CabA,             Horn_activated_M1
Horn_activated_CabB,             Horn_activated_M2
MRE_Bypass,             Low_MRE_Bypass
Bypass_Prk_Brk_Act_M1,             Parking_brake_bypass_is_active_in_M1_car
Bypass_Brk_Rel_Act_M2,             Parking_brake_bypass_is_active_IN_M2_car
Rescue_Pipe_Open_M1,             Rescue_pipe_cock_open_in_M1_car
Rescue_Pipe_Open_M2,             Rescue_pipe_cock_open_in_M2_car
Obst_Detect_Trig_M1,             Obstacle_Detector_Trigger_in_M1
Obst_Detect_Trig_M2,             Obstacle_Detector_Trigger_in_M2
Dert_Detect_Trig_M1,             Derailment_Detector_Trigger_in_M1
Dert_Detect_Trig_M2,             Derailment_Detector_Trigger_in_M2
CMD_Cab_M1_active,             Cab_M1_active
CMD_Cab_M2_active,             Cab_M2_active
CMD_direction_M1,             Direction_M1
CMD_direction_M2,             Direction_M2
PEC_activated_M1_1,             M1_car_PEC1_activated
PEC_activated_M1_2,             M1_car_PEC2_activated
PEC_activated_M1_3,             M1_car_PEC3_activated
PEC_activated_M2_1,             M2_car_PEC1_activated
PEC_activated_M2_2,             M2_car_PEC2_activated
PEC_activated_M2_3,             M2_car_PEC3_activated
PEC_activated_T_1,             T_car_PEC1_activated
PEC_activated_T_2,             T_car_PEC2_activated
PEC_activated_T_3,             T_car_PEC3_activated
MC_Position_CabA,             Master_controller_position_in_M1
MC_Position_CabB,             Master_controller_position_in_M2
DB_Force_Ref,             Train_Driving/Braking_Setpoint
Line_Voltage,             Line_voltage
MC_Pos_EB_CabA,             Emergency_brake_by_MC_in_M1
MC_Pos_EB_CabB,             Emergency_brake_by_MC_in_M2
Traction_Interlock,             Traction_Interlock_active
MS_FAO_CabA,             ATO_mode_selected_in_M1
MS_FAO_CabB,             ATO_mode_selected_in_M2
MS_CM_CabA,             Code_Manual_mode_selected_in_M1
MS_CM_CabB,             Code_Manual_mode_selected_in_M2
MS_RMF_CabA,             Restricted_Monual_forward_mode_in_M1_car
MS_RMF_CabB,             Restricted_Manual_forward_mode_in_M2_car
